,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
0,Vip,Neurod6,Plp1,Gad1,Slc17a7,Aldh1l1,Ndnf,Enpp2,Tcf7l2,Fez1,Fez1,Adamts19,Otof,Tshz2,Gprc5b,Rorb,Syt6,Nr4a2,Cplx3,Lamp5,Pvalb,Cadps2,Sst,Cp,Vip,Neurod6,Plp1
1,Sst,Dkkl1,Slco1c1,Gad2,Slc17a8,Gja1,Smad3,Otof,Cd9,Phyhipl,Phyhipl,Trp73,Igsf11,Nxph1,Tcerg1l,Ptprm,Foxp2,Gfra1,Moxd1,Ndnf,Tac1,Megf10,Unc13c,Vip,Sst,Dkkl1,Slco1c1
2,Gad1,Sv2b,Slc1a3,Grik1,Satb2,Slc01c1,Reln,Ngb,Aqp4,Aplp1,Aplp1,Lhx5,Calb1,Trhr,Parm1,Hgf,Rprm,Rgs12,Ctgf,Sv2c,Syt2,Frem1,Lama4,Gpd1,Gad1,Sv2b,Slc1a3
3,Gad2,Satb2,Mfge8,Spock3,Arpp21,S100b,Car4,Ptgs2,Cxcl14,Gnao1,Gnao1,Lhx1,Rasgrf2,Vwc2l,Lgr5,Il1rapl2,Sema5a,Nr2f2,Svil,Atp6ap1l,Adamtsl5,Adamtsl2,Spon1,Crh,Gad2,Satb2,Mfge8
4,Dlx6os1,Serinc2,Ptgds,,Neurod1,Gfap,Cxcl14,Inhba,Gja1,Caly,Caly,S100a13,Prkg2,Kcnip1,Bcl6,Gm20752,Zfpm2,Car3,Nxph4,Gm3510,Myo1e,Unc5b,Lypd6,Sema5b,,Serinc2,Ptgds
5,Npy,Neurod2,Gpr37l1,,,Mag,Sema3c,Rorb,Gfap,Snap25,Snap25,S100a16,Evc2,Lcp1,Gng7,Dkkl1,Hs3st4,Tfap2d,Fbxl7,Pde11a,Slit2,Tnfaip8l3,Calb1,Fbln2,,,Gpr37l1
6,Slc6a1,Robo3,Apoe,,,Mog,Tnfaip8l3,Ctxn3,F3,Atp1a3,Atp1a3,Cmtm5,Stard8,Grik1,6430573F11Rik,Slc24a3,Cpa6,Oprk1,Inpp4b,Crispld1,Prss23,Tns1,Rgs9,Angpt1,,,Apoe
7,Adarb2,Exph5,S1pr1,,,Man1,Vip,Scnn1a,Sox9,Camk2b,Camk2b,Kcnj10,Mdga1,Dkk2,Coro6,Galntl6,Zfhx3,Col11a1,Clic5,Prom1,Cemip,Cnr1,Grin3a,Tac2,,,S1pr1
8,Erbb4,C1ql3,Gja1,,,Gm21984,Gpc3,Arf5,Olig1,Syt1,Syt1,Gja1,Agmat,Unc13c,Cacna1h,Rspo1,Thsd7b,B3gat2,Tmem163,Hapln1,Myo5b,Htr3a,Lypd6b,Cbln2,,,Gja1
9,Igf1,Fam19a1,Cd9,,,,Mab21l1,Hsd11b1,Pdgfra,Gabrg2,Gabrg2,Gjb6,Efcab1,Slc17a8,Slc25a13,Rmst,Tle4,Synpr,Vwc2,Scube1,Adamts15,Rgs12,Tmcc3,Wnt5b,,,
10,Kcnmb2,Cpne9,Sepp1,,,,Chat,Deptor,Cspg4,Fabp3,Fabp3,Aqp4,Ccbe1,Stard5,Chst8,Boc,Col12a1,Col24a1,Atp10a,Adamtsl1,St3gal6,Syt6,Grik3,Dpf3,,,
