,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
0,Kalrn,Sox2ot,Kcnj10,Gm29051,Mrln,Gm45643,Lingo1,Gad1,Zfp36l2,Lingo1,Rpp25,Arhgef10l,Lingo1,Gad2,Gab1,Kalrn,Gm10721,Gm28438
1,Mef2c,Gad1,Zcchc24,Rbfox3,Gm12080,Gm44382,Kalrn,Slc6a1,Kcnj10,Kalrn,Afap1,Amotl2,Msra,Sox1,Zcchc24,Lingo1,Gm11168,Gm10925
2,Nedd4l,Dlx1as,St6gal1,Taok3,Ank3,Eps15l1,Rbfox3,Sp9,Sall1,Dlgap3,Slc6a1,Kcnj10,Thy1,Sox2,Kcnj10,Synpo,Gm10719,Gm28661
3,Atp2b1,Btbd11,Tfeb,Smyd3,Gm9509,Gm45394,Adgrb2,Rpp25,Tfeb,Erc2,Gad1,Ralgds,Adcy2,Nxph1,Rab31,Dclk1,Gm10720,Gm13341
4,Atp2b2,Dlx6os1,Notch1,Pcsk7,Tanc1,L3mbtl3,Mical2,Sox2ot,Gm10863,2010300C02Rik,Csf2ra,Hip1,Ddo,Pcp4l1,Kazn,Adgrb1,Gm10717,Gm28439
5,Ryr2,Elavl2,Wipf1,Gm24224,Slmap,Gm6327,Nedd4l,Dlx1as,Nfe2l2,Ttc7,Btbd11,Gatad2a,1700071K01Rik,Adcy5,Cd9,Rbfox3,Gm10718,Gm13340
6,Dclk1,Slc6a1,Frmd4b,Sppl2a,Cacna1d,Spdya,Synpo,Gad2,Cdc42ep1,Gm11840,Pdxk,Tef,Iqschfp,Slc44a5,Ppp1r14a,Lars2,Tcstv3,Gm3764
7,Lingo1,Tcf4,Olig2,Abhd18,Gm8664,Gm23744,Scn8a,Gm14204,Clic4,Gas7,Sox1,Gsk3b,Ttc7b,Klf12,Pllp,Nedd4l,Gm5626,Notch1
8,Rbfox3,Sorbs1,Carhsp1,Gm24838,1700113B09Rik,Gm20554,Loxhd1,Dlx1,Lfng,Rbfox3,Elavl2,Gm26682,Nsmce3,Gpr176,Nkain1,Arc,Gm17535,Slc1a2
9,Schip1,Gad2,Rapgef3,Arhgef18,Dcp1a,Gm5779,Camk2a,Gm14205,AC131323.2,Dclk1,Mafb,Sall1,Tmem132d,Alk,Cldn11,Arpp21,Gm49060,Gm29216
10,Synpo,Nxph1,Glul,Lrit2,Corin,Cd180,Schip1,Dlx5,Olig1,Synpo,Kif5c,Tsc22d4,Pcsk2,Cacna2d3,Sall1,Ciz1,Greb1,Atp1a2
11,Osbpl1a,Afap1,Pde8a,Tspan15,Phactr3,Plxnd1,Atp2b2,Dlx2,Cd9,Myo5c,Ptprm,Mir6236,Ext1,Rpp25,Tspan14,Mical2,Gm13532,Slc38a3
12,Sorbs2,Dlx1,Cdc42ep1,Gm43008,Gm6999,Gm10275,Adgrb1,Btbd11,4833404L02Rik,Adgrb2,Gm14204,Clic4,Tmem117,Cacng4,Pacrg,Gm15564,Ftl1-ps2,Myo10
13,Lmo7,Tiam1,Gm10863,Rbpj-ps3,Gtdc1,Gm25698,Dclk1,Fam20c,Olig2,Osbpl1a,Gm48611,Arl8a,Rtn4r,Zfp521,Padi2,Camk2a,Rps2-ps5,Trim8
14,Ppp3ca,Mtss1,Gprc5b,Btbd9,Dner,AC122852.1,Arpp21,Pcp4l1,Pde8a,Ttc7b,Nxph1,Abtb1,Kcnb1,Elfn1,Carhsp1,Nav2,Gm31693,Rapgef3
15,Itpr1,Sp9,Gm45052,Rabgap1l,Lingo2,Slc6a18,Rimbp2,Arx,Tmem63a,Ptk2b,Grk3,Rab40c,Myo5c,Nalcn,Rhob,Mef2c,Gm13717,Per1
16,Arpp21,Dlx5,St3gal4,Gm24011,Frmd4a,Gm22390,Myt1l,Kcnh2,A230009B12Rik,Loxhd1,Dlx1,Fgfrl1,Fstl4,Plppr1,Gm27021,Adgrb2,Gm22024,Plekho2
17,Sipa1l1,Sox6,Fam107a,Kcnab1,Fryl,AC125133.1,Glt8d2,Afap1,Gm12983,Nedd4l,Mtmr4,Gm3764,Khdrbs3,Tcerg1l,Nfe2l2,Gas7,Gm13173,Dbp
18,Ank3,Kcnmb2,F630040K05Rik,Pkib,Cdk14,4933412L11Rik,Gas7,Ank1,Wipf1,Mical2,Rere,Plekho2,Rims1,Stk32a,Cmtm5,Rasgef1a,Sfi1,Amotl2
19,Herc3,Etl4,Arhgap23,Spsb1,Prl2c3,5530401A14Rik,Pitpnm2,Kcnip1,Plekho2,Arc,Eml2,Cic,Lrfn2,Pola1,Sec14l5,Schip1,Gm3318,Kcnj10
20,Kif5c,Mafb,Slc38a3,Trpm7,Bcas3,Gm46516,Celf2,Fyn,Ptgds,Lzts1,Crlf2,Sox1,Camk4,Pcp4,Tubb4a,Elfn2,Gm48801,Zfp36l2
21,Foxp1,Lhx6,Fa2h,Fancl,Mctp1,Plcd3,Cacna1e,Inpp5j,Zcchc24,Lmo7,Mlec,Cxxc5,Pcdh9,Xkr6,Clic4,Ttc7b,Cadps,Gm4675
22,Myo5c,Dlx2,Tmc7,Gm12423,Fam107b,Gm35963,Pde2a,Dpysl5,Gm4262,Arpp21,Dscaml1,Gm29340,Hs6st3,Kctd8,Dock5,Dmtn,Esr1,Atp1b2
23,Phactr1,Arx,Nkx2-2os,Anks6,Nol4,Shf,Apba2,Ubash3b,Carhsp1,Mast4,Dlx5,Peli1,Tmem178b,Sp9,Arhgap31,Igsf9b,Gm30674,Adgrg1
24,Nrxn1,Dpp6,Gm20515,Hnrnpd,Fam133b,H1foo,Osbpl10,Tiam1,Ppp1r14a,Dmtn,Bcl2l11,Ndrg2,Zfp541,Gm1604b,Urm1,Atp2b2,Gm17655,Bcan
25,Cacna1e,Rpp25,Fgfr2,Gm17829,Tenm4,Bcas3os2,Ttc7b,Lhx6,Padi2,Nova2,Sox2ot,Slc6a1,Sobp,Cntnap3,Htra4,Dlgap3,Ror2,Id3
26,Myt1l,Osbpl3,Fnbp1,Nepro,Fam213a,Hormad1,Chn1os3,Mafb,Fa2h,Ddrgk1,Tcf25,Slc38a3,Fat3,Ccdc85c,Opalin,Hspa12a,Wwox,Msi2
27,Bcl11a,Grip1,Tsc22d4,Usp45,AC100751.1,AC132100.1,Rasgef1a,Grin2d,Gm13070,Syt7,Rita1,Notch1,Zbtb16,Pde1b,Ermn,Gm24270,Gm19193,Lfng
28,Ankrd33b,Ank1,Arap1,Gm13601,Col18a1,Depdc1b,Slc6a17,Sorbs1,AC132455.1,Vipr1,Lbh,Klf15,Gpm6a,Pcare,Plekhh1,Slc6a17,Mylk,Mertk
29,Ttc7b,Gm14205,Gli2,Olfr419,Gpi1,Gm2840,Ssbp3,Dpp6,Trf,Glt8d2,Dlx6os1,Mtss1l,Atrnl1,Drd2,Snx33,Gramd1b,Phf21a,Fgfr3
30,Mtcl1,Tacc2,Csrp1,Gm13632,Kif27,Gm42959,Hspa12a,Gm17141,Gm13549,Gm43760,Ccdc63,Cdc42ep1,St6galnac3,Tnrc6a,Plekho2,Myt1l,Mir7211,S1pr1
31,Trio,Gm14204,Fgfrl1,1700061F12Rik,Gm19585,Gm18430,Ptk2b,Nxph1,Cd82,Camk2a,Zbtb12,Fbxo2,Hecw1,Epb41l4a,Plekhg3,Osbpl1a,Dop1b,Pmp22
32,Fbxo34,Kcnip1,Plekho2,Ipcef1,Slc16a9,Cyp2d22,Unc5a,Nacc2,Rassf2,Ciz1,Lor,Bcan,Trabd2b,Lrrc52,Gramd3,Phactr1,Gm37556,Bcl9l
33,Gas7,Klf12,Pllp,Zfp536,St7,Gm37583,Plekha6,Bcl11b,Slc9a3r1,Garnl3,Gm17118,F630040K05Rik,Meltf,Pnoc,Adora3,Kcnab2,Plxnc1,Emx2
34,Camk2a,C530008M17Rik,Htra1,Thrb,Tmem56,Rho,Shank2,Shb,Amotl2,Rilpl1,Gm25888,Gm12983,Gfod1,Oprd1,Slc48a1,Add2,Gm47882,Ndrg2
35,Patj,Rbms3,Phgdh,Gm10730,Rgs6,Smpdl3a,Dlgap3,Gm42693,Crybb1,Chn1os3,Frmpd1,Nr1d2,Dok5,Bend4,Cx3cr1,Ank2,Gm13345,Plekhg2
36,Kctd1,Adamts17,Olig1,Gm12424,Frmpd2,Gm12578,Ciz1,Kcnc1,Pllp,Bcar3,Ccdc9,AC169509.1,Elfn2,Tbc1d19,Ankub1,Lncpint,Abhd6,Id2
37,Ptk2b,Vwc2,AC132455.3,Jarid2,Mtus2,Laptm4b,Neurod2,Ccdc85c,Plekhf1,Asap1,Dcaf11,Acss1,4930550C14Rik,Vwa8,Sap30bp,Nfasc,Fcrl5,Id1
38,Osbpl10,Gm42693,Phldb1,Nudt21,Gm35281,Gm25278,Mcf2l,Tubb2b,Gm11770,Nav2,Atp2b1,Zcchc24,Hspa12a,B3galt5,Scamp5,Pitpnm2,Gm21814,Tns1
39,Celf2,Minar1,Lfng,Gm22817,Gm4804,Acat2,Tub,Csf2ra,Kctd14,Vps8,Ifitm10,Tfeb,Pamr1,Spsb4,St3gal4,Pgbd5,Gzmk,Sufu
40,Magi2,Bcl11b,Slc1a3,Jak1,Met,Iqch,Trak1,C230057M02Rik,Gm16168,Osbpl10,Cyp46a1,Ghrh,Cplx2,Kcnc2,Kcnk5,Nfix,Gm6087,Htra1
41,Syne1,Grik1,Ppfibp2,Slc25a13,Baz2b,Panx3,Gabbr2,Camta1,Sparc,Mtus2,Sox2,Zfp36l2,Cfap299,Kcnn3,B3galt5,Lzts1,Gm22534,Slc27a1
42,Myo1b,Dscaml1,Ptgds,Zmiz2,Fam126a,Gm30409,Lzts1,C530008M17Rik,Bmf,Nrxn1,B3galt6,Gas1,Tmem132b,Syndig1l,Shisa4,Tspan5,Rpl31-ps23,Tef
43,Anks1b,Galntl6,Opalin,Satb2,Chst8,Gm23118,Ccdc155,Atp1b1,AC132455.3,Schip1,Cdca7l,Pcmtd1,Hs3st4,St8sia2,Tmem189,Shank1,Gm49472,Mtss1l
44,Brinp1,Nrxn3,Cd9,Trim37,Dct,Rnf217,Kcnq2,Ptprm,Tgfbr1,Dgkz,Hnrnpk,Klf3,Cog5,Lor,Gatm,Celf2,Gm24485,Midn
45,Tspan5,Ngf,A230009B12Rik,Mtss1,Pde4d,1700104L18Rik,Nrxn1,Cacna2d2,Gm22847,Ddx20,Elovl5,Tbl2,Fam135b,Zfp804a,Olig2,Egr1,C130026I21Rik,Pxn
46,Add2,Ptprm,Litaf,Tax1bp1,AC164314.1,Gm25969,Nav2,Dlx6,Gm31105,Tcof1,Kdm2a,4932412D23Rik,Akap6,Dusp10,Cdc42ep1,Myo5c,Gm47215,Sash1
47,Ndrg4,Metap1d,Qk,Gzmb,Platr26,Gm22276,Bcar3,Spsb4,Gm36246,Apba2,Gm13889,Gprc5b,Kcnq3,Kcnd2,Sox2,Kcnq2,Zfp988,Itgb5
