Ensembl,En_gene,Name,Entrez,Refseq
1,ENSMUST00000086639,ENSMUSG00000055471,Alk,11682,NM_007439
2,ENSMUST00000232891,ENSMUSG00000055471,Alk,11682,
3,ENSMUST00000232804,ENSMUSG00000055471,Alk,11682,
4,ENSMUST00000036424,ENSMUSG00000032807,Alox12b,11686,NM_009659
5,ENSMUST00000064775,ENSMUSG00000024256,Adcyap1,11516,NM_009625
6,ENSMUST00000064775,ENSMUSG00000024256,Adcyap1,11516,NM_001315504
7,ENSMUST00000106112,ENSMUSG00000078566,Bnip3,12176,NM_009760
8,ENSMUST00000130500,ENSMUSG00000078566,Bnip3,12176,
9,ENSMUST00000141223,ENSMUSG00000078566,Bnip3,12176,
10,ENSMUST00000148970,ENSMUSG00000078566,Bnip3,12176,
11,ENSMUST00000125359,ENSMUSG00000078566,Bnip3,12176,
12,ENSMUST00000060366,ENSMUSG00000045817,Zfp36l2,12193,NM_001001806
13,ENSMUST00000103184,ENSMUSG00000027335,Adra1d,11550,NM_013460
14,ENSMUST00000012281,ENSMUSG00000032179,Bmp5,12160,NM_007555
15,ENSMUST00000137213,ENSMUSG00000032179,Bmp5,12160,
16,ENSMUST00000013304,ENSMUSG00000013160,Atp6v0d1,11972,NM_013477
17,ENSMUST00000144486,ENSMUSG00000013160,Atp6v0d1,11972,
18,ENSMUST00000009143,ENSMUSG00000008999,Bmp7,12162,NM_007557
19,ENSMUST00000137247,ENSMUSG00000008999,Bmp7,12162,
20,ENSMUST00000108857,ENSMUSG00000018585,Atox1,11927,NM_009720
21,ENSMUST00000138412,ENSMUSG00000018585,Atox1,11927,
22,ENSMUST00000022618,ENSMUSG00000022039,Adam2,11495,NM_009618
23,ENSMUST00000225667,ENSMUSG00000022039,Adam2,11495,
24,ENSMUST00000213062,ENSMUSG00000006589,Aprt,11821,
25,ENSMUST00000006764,ENSMUSG00000006589,Aprt,11821,NM_009698
26,ENSMUST00000212093,ENSMUSG00000006589,Aprt,11821,
27,ENSMUST00000213030,ENSMUSG00000006589,Aprt,11821,
28,ENSMUST00000213029,ENSMUSG00000006589,Aprt,11821,
29,ENSMUST00000211823,ENSMUSG00000006589,Aprt,11821,
30,ENSMUST00000212834,ENSMUSG00000006589,Aprt,11821,
31,ENSMUST00000213017,ENSMUSG00000006589,Aprt,11821,
32,ENSMUST00000211810,ENSMUSG00000006589,Aprt,11821,
33,ENSMUST00000020420,ENSMUSG00000020198,Ap3d1,11776,NM_007460
34,ENSMUST00000219816,ENSMUSG00000020198,Ap3d1,11776,
35,ENSMUST00000218610,ENSMUSG00000020198,Ap3d1,11776,
36,ENSMUST00000218125,ENSMUSG00000020198,Ap3d1,11776,
37,ENSMUST00000220183,ENSMUSG00000020198,Ap3d1,11776,
38,ENSMUST00000219253,ENSMUSG00000020198,Ap3d1,11776,
39,ENSMUST00000219356,ENSMUSG00000020198,Ap3d1,11776,
40,ENSMUST00000023295,ENSMUSG00000022622,Acr,11434,NM_001277245
41,ENSMUST00000023295,ENSMUSG00000022622,Acr,11434,NM_013455
42,ENSMUST00000023295,ENSMUSG00000022622,Acr,11434,NM_001205049
43,ENSMUST00000023295,ENSMUSG00000022622,Acr,11434,NM_001277247
44,ENSMUST00000023295,ENSMUSG00000022622,Acr,11434,NM_001277246
45,ENSMUST00000231216,ENSMUSG00000022622,Acr,11434,
46,ENSMUST00000230538,ENSMUSG00000022622,Acr,11434,
47,ENSMUST00000230978,ENSMUSG00000022622,Acr,11434,
48,ENSMUST00000006626,ENSMUSG00000006457,Actn3,11474,NM_013456
49,ENSMUST00000138811,ENSMUSG00000006457,Actn3,11474,
50,ENSMUST00000021065,ENSMUSG00000020722,Cacng1,12299,NM_007582
51,ENSMUST00000078528,ENSMUSG00000018446,C1qbp,12261,NM_007573
52,ENSMUST00000155371,ENSMUSG00000018446,C1qbp,12261,
53,ENSMUST00000179291,ENSMUSG00000018446,C1qbp,12261,
54,ENSMUST00000112751,ENSMUSG00000057329,Bcl2,12043,NM_009741
55,ENSMUST00000189999,ENSMUSG00000057329,Bcl2,12043,NM_177410
56,ENSMUST00000034453,ENSMUSG00000031972,Acta1,11459,NM_009606
57,ENSMUST00000034453,ENSMUSG00000031972,Acta1,11459,NM_001272041
58,ENSMUST00000212584,ENSMUSG00000031972,Acta1,11459,
59,ENSMUST00000016902,ENSMUSG00000016758,Bik,12124,NM_007546
60,ENSMUST00000230912,ENSMUSG00000016758,Bik,12124,
61,ENSMUST00000229165,ENSMUSG00000016758,Bik,12124,
62,ENSMUST00000229964,ENSMUSG00000016758,Bik,12124,
63,ENSMUST00000028836,ENSMUSG00000027358,Bmp2,12156,NM_007553
64,ENSMUST00000047419,ENSMUSG00000041736,Tspo,12257,NM_009775
65,ENSMUST00000208463,ENSMUSG00000041736,Tspo,12257,
66,ENSMUST00000104934,ENSMUSG00000058620,Adra2b,11552,
67,ENSMUST00000071902,ENSMUSG00000058620,Adra2b,11552,NM_009633
68,ENSMUST00000018644,ENSMUSG00000018500,Adora2b,11541,NM_007413
69,ENSMUST00000036016,ENSMUSG00000035262,Amh,11705,NM_007445
70,ENSMUST00000173420,ENSMUSG00000092517,Art2a,NA,
71,ENSMUST00000209526,ENSMUSG00000030651,Art2b,11872,
72,ENSMUST00000063920,ENSMUSG00000030651,Art2b,11872,NM_019915
73,ENSMUST00000211424,ENSMUSG00000031521,Aga,11593,NM_001205054
74,ENSMUST00000033920,ENSMUSG00000031521,Aga,11593,NM_001005847
75,ENSMUST00000209811,ENSMUSG00000031521,Aga,11593,
76,ENSMUST00000084502,ENSMUSG00000066979,Bub3,12237,NM_009774
77,ENSMUST00000084502,ENSMUSG00000066979,Bub3,12237,NM_001317350
78,ENSMUST00000207736,ENSMUSG00000066979,Bub3,12237,
79,ENSMUST00000208848,ENSMUSG00000066979,Bub3,12237,
80,ENSMUST00000209131,ENSMUSG00000066979,Bub3,12237,
81,ENSMUST00000207231,ENSMUSG00000066979,Bub3,12237,
82,ENSMUST00000208571,ENSMUSG00000066979,Bub3,12237,
83,ENSMUST00000207442,ENSMUSG00000066979,Bub3,12237,
84,ENSMUST00000033300,ENSMUSG00000030996,Art1,11870,NM_009710
85,ENSMUST00000210211,ENSMUSG00000030996,Art1,11870,
86,ENSMUST00000209809,ENSMUSG00000030996,Art1,11870,
87,ENSMUST00000023151,ENSMUSG00000022508,Bcl6,12053,NM_009744
88,ENSMUST00000135352,ENSMUSG00000022508,Bcl6,12053,
89,ENSMUST00000052837,ENSMUSG00000046532,Ar,11835,NM_013476
90,ENSMUST00000042081,ENSMUSG00000040552,C3ar1,12267,NM_009779
91,ENSMUST00000022567,ENSMUSG00000021991,Cacna2d3,12294,NM_009785
92,ENSMUST00000225985,ENSMUSG00000021991,Cacna2d3,12294,
93,ENSMUST00000225668,ENSMUSG00000021991,Cacna2d3,12294,
94,ENSMUST00000225733,ENSMUSG00000021991,Cacna2d3,12294,
95,ENSMUST00000225863,ENSMUSG00000021991,Cacna2d3,12294,
96,ENSMUST00000224950,ENSMUSG00000021991,Cacna2d3,12294,
97,ENSMUST00000226048,ENSMUSG00000021991,Cacna2d3,12294,
98,ENSMUST00000225953,ENSMUSG00000021991,Cacna2d3,12294,
99,ENSMUST00000224128,ENSMUSG00000021991,Cacna2d3,12294,
100,ENSMUST00000006828,ENSMUSG00000006651,Aplp1,11803,NM_007467
101,ENSMUST00000208792,ENSMUSG00000006651,Aplp1,11803,
102,ENSMUST00000208404,ENSMUSG00000006651,Aplp1,11803,
103,ENSMUST00000207514,ENSMUSG00000006651,Aplp1,11803,
104,ENSMUST00000209054,ENSMUSG00000006651,Aplp1,11803,
105,ENSMUST00000087316,ENSMUSG00000067276,Capn6,12338,NM_007603
106,ENSMUST00000151154,ENSMUSG00000067276,Capn6,12338,
107,ENSMUST00000218755,ENSMUSG00000035133,Arhgap5,11855,
108,ENSMUST00000219443,ENSMUSG00000035133,Arhgap5,11855,
109,ENSMUST00000217820,ENSMUSG00000035133,Arhgap5,11855,
110,ENSMUST00000110725,ENSMUSG00000035133,Arhgap5,11855,NM_009706
111,ENSMUST00000036126,ENSMUSG00000036023,Parp2,11546,NM_009632
112,ENSMUST00000226880,ENSMUSG00000036023,Parp2,11546,
113,ENSMUST00000227705,ENSMUSG00000036023,Parp2,11546,
114,ENSMUST00000228672,ENSMUSG00000036023,Parp2,11546,
115,ENSMUST00000227810,ENSMUSG00000036023,Parp2,11546,
116,ENSMUST00000228624,ENSMUSG00000036023,Parp2,11546,
117,ENSMUST00000228833,ENSMUSG00000036023,Parp2,11546,
118,ENSMUST00000228872,ENSMUSG00000036023,Parp2,11546,
119,ENSMUST00000027491,ENSMUSG00000026272,Agxt,11611,NM_016702
120,ENSMUST00000027491,ENSMUSG00000026272,Agxt,11611,NM_001276710
121,ENSMUST00000191039,ENSMUSG00000026272,Agxt,11611,
122,ENSMUST00000190603,ENSMUSG00000026272,Agxt,11611,
123,ENSMUST00000033621,ENSMUSG00000031266,Gla,11605,NM_013463
